longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
139.0844359,37.73175756,1408,鎌倉農村公園,鎌倉新田273番地2, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
139.0730889,37.74558219,1409,横川浜農村公園,横川浜460番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
139.0905227,37.74115922,1411,小須戸運動広場,矢代田1番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
139.0954778,37.75001924,1332,舟戸公園,矢代田1238番地5, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,秋葉区,屋外
139.0968372,37.74434802,1392,山ノ手公園,矢代田5012番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
138.8666304,37.79057119,1527,上堰潟公園,松野尾1番地, , ,広域避難場所に指定しています。　・地震発生後、火災の延焼拡大等により一時避難場所が危険な状況になった場合の避難場所として市が指定しています。,西蒲区,屋外
138.8857447,37.76218254,1323,すわ保育園（広場）,巻甲763-1,0256-72-7697,0256-72-7697,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,巻地区,屋外
138.8538661,37.76319354,1432,城山運動公園,峰岡580,0256-72-1212, ,広域避難場所に指定しています。　・地震発生後、火災の延焼拡大等により一時避難場所が危険な状況になった場合の避難場所として市が指定しています。,巻地区,屋外
138.9153516,37.79288162,1386,西川筋広場,曽根7-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西川地区,屋外
138.9185817,37.78687508,1389,押付地区公園,押付269-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西川地区,屋外
138.9124565,37.78761806,1433,西川ふれあい公園,松崎73番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西蒲区,屋外
138.9150174,37.7671706,1434,県農業大学校,巻甲12007,0256-72-3141,0256-73-3001,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,巻地区,屋外
138.9523631,37.77876335,1437,潟東西公園,横戸1960番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,潟東地区,屋外
138.9139557,37.80020401,1447,魲地区公園,魲340番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西蒲区,屋外
139.009189,37.77840192,1314,味方児童館駐車場,味方679, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。, ,屋外
139.0191612,37.76538336,1373,白根公園,白根1145-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,白根地区,屋外
139.0156383,37.79579302,1379,根岸公園,高井東一丁目392-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,白根地区,屋外
139.0093987,37.79315507,1385,吉江児童遊園地,吉江656-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,味方地区,屋外
